#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
Revise,"CCG Individual Cards (183454)","306468718541",Unseen Forces #35/115 Bayleef,"US","USD","1.99",,"1",,,61-j1x8p
Revise,"CCG Individual Cards (183454)","306468718544",Delta Species #52/113 Rapidash,"US","USD","2.0",,"1",,,58-j1x8m
Revise,"CCG Individual Cards (183454)","306468718545",SWSH05: Battle Styles #104/163 Bisharp,"US","USD","0.99",,"1",,,64-j1x8s
Revise,"CCG Individual Cards (183454)","306468718546",Lileep - Legend Maker Pokemon,"US","USD","1.99",,"1",,,54-j1x8i
Revise,"CCG Individual Cards (183454)","306468718547",Delta Species #45/113 Illumise,"US","USD","1.99",,"1",,,56-j1x8k
Revise,"CCG Individual Cards (183454)","306468718551",Deoxys #72/107 Shroomish,"US","USD","1.99",,"1",,,51-j1x8f
Revise,"CCG Individual Cards (183454)","306468781357",FireRed & LeafGreen #64/112 Growlithe,"US","USD","2.0",,"1",,,65-j1y3j
Revise,"CCG Individual Cards (183454)","306469225055",Emerging Powers #86/98 Rufflet (86),"US","USD","1.0",,"1",,,67-j2foe
Revise,"CCG Individual Cards (183454)","306469225056",Holon Phantoms #33/110 Torkoal,"US","USD","2.0",,"1",,,79-j2fs3
Revise,"CCG Individual Cards (183454)","306469225058",Power Keepers #67/108 Torchic,"US","USD","1.5",,"1",,,76-j2fs0
Revise,"CCG Individual Cards (183454)","306469225064",Dragon Frontiers #33/101 Kirlia (Delta Species),"US","USD","2.5",,"1",,,77-j2fs1
Revise,"CCG Individual Cards (183454)","306469225069",Team Magma vs Team Aqua #34/95 Team Magma's Houndoom,"US","USD","4.5",,"1",,,75-j2frz
Revise,"CCG Individual Cards (183454)","306469225071",Dragon Frontiers #61/101 Ralts (Delta Species),"US","USD","1.99",,"1",,,69-j2frt
Revise,"CCG Individual Cards (183454)","306469225076",Unseen Forces #73/115 Slugma,"US","USD","2.0",,"1",,,82-j2fs6
Revise,"CCG Individual Cards (183454)","306471557482",SV09: Journey Together #079/159 Mamoswine ex,"US","USD","2.0",,"1",,,86-j4q3a
Revise,"CCG Individual Cards (183454)","306471557504",SV04: Paradox Rift #100/182 Toxtricity ex,"US","USD","2.25",,"1",,,87-j4q3b
Revise,"CCG Individual Cards (183454)","306471557554",SV09: Journey Together #030/159 Reshiram ex,"US","USD","1.99",,"1",,,88-j4q3c
Revise,"CCG Individual Cards (183454)","306471557618",SV10: Destined Rivals #003/182 Yanmega ex,"US","USD","1.99",,"1",,,89-j4q3d
Revise,"CCG Individual Cards (183454)","306471557728",SV: Black Bolt #003/086 Serperior ex,"US","USD","2.0",,"1",,,90-j4q3e
Revise,"CCG Individual Cards (183454)","306471557802",SV10: Destined Rivals #003/182 Yanmega ex,"US","USD","1.99",,"1",,,94-j4q3i
Revise,"CCG Individual Cards (183454)","306471557846",Rising Rivals #64/111 Hippopotas,"US","USD","1.49",,"1",,,95-j4q3j
Revise,"CCG Individual Cards (183454)","306471558002",Great Encounters #28/106 Slowking,"US","USD","4.0",,"1",,,97-j4q3l
Revise,"CCG Individual Cards (183454)","306471558143",Diamond and Pearl #46/130 Drifloon,"US","USD","1.49",,"1",,,98-j4q3m
Revise,"CCG Individual Cards (183454)","306471558274",Black and White #23/114 Darumaka (23),"US","USD","1.49",,"1",,,99-j4q3n
Revise,"CCG Individual Cards (183454)","306471558654",Rising Rivals #43/111 Infernape E4,"US","USD","4.0",,"1",,,104-j4q3s
Revise,"CCG Individual Cards (183454)","306471558775",Arceus #72/99 Ponyta (72),"US","USD","1.75",,"1",,,105-j4q3t
Revise,"CCG Individual Cards (183454)","306472197875",Plasma Blast #89/101 Silver Mirror,"US","USD","1.49",,"1",,,102-j4q3q
Revise,"CCG Individual Cards (183454)","306472198079",BW Trainer Kit: Excadrill & Zoroark #13/30 Drilbur (#13),"US","USD","1.49",,"1",,,100-j4q3o
Revise,"CCG Individual Cards (183454)","306478326558",Arceus #35/99 Charmeleon,"US","USD","1.49",,"1",,,107-jbqdg
Revise,"CCG Individual Cards (183454)","306478326560",Diamond and Pearl #76/130 Chimchar,"US","USD","1.99",,"1",,,108-jbqdi
Revise,"CCG Individual Cards (183454)","306478326614",Crystal Guardians #70/100 Wingull,"US","USD","1.49",,"1",,,111-jbqdq
Revise,"CCG Individual Cards (183454)","306478326643",Diamond and Pearl #89/130 Meditite,"US","USD","1.49",,"1",,,114-jbqdy
Revise,"CCG Individual Cards (183454)","306478326670",Great Encounters #64/106 Clamperl,"US","USD","1.99",,"1",,,115-jbqe3
Revise,"CCG Individual Cards (183454)","306478326720",Mysterious Treasures #100/123 Snorunt,"US","USD","1.49",,"1",,,121-jbqee
Revise,"CCG Individual Cards (183454)","306478326750",FireRed & LeafGreen #64/112 Growlithe,"US","USD","1.99",,"1",,,125-jbqer
Revise,"CCG Individual Cards (183454)","306478326762",Diamond and Pearl #95/130 Rhyhorn,"US","USD","1.49",,"1",,,130-jbqnf
Revise,"CCG Individual Cards (183454)","306478326771",Diamond and Pearl #71/130 Bonsly,"US","USD","6.99",,"0",,,126-jbqex
Revise,"CCG Individual Cards (183454)","306478326788",SWSH05: Battle Styles #015/163 Lurantis,"US","USD","1.49",,"1",,,128-jbqgw
Revise,"CCG Individual Cards (183454)","306478326792",SWSH05: Battle Styles #081/163 Silicobra,"US","USD","1.49",,"1",,,129-jbqh4
Revise,"CCG Individual Cards (183454)","306478347146",SWSH05: Battle Styles #007/163 Cherubi,"US","USD","0.99",,"1",,,131-jbseg
Revise,"CCG Individual Cards (183454)","306478347152",SWSH05: Battle Styles #049/163 Pachirisu,"US","USD","1.49",,"1",,,132-jbsei
Revise,"CCG Individual Cards (183454)","306478347166",SWSH05: Battle Styles #059/163 Chimecho,"US","USD","1.49",,"1",,,133-jbsej
Revise,"CCG Individual Cards (183454)","306478347180",SWSH05: Battle Styles #007/163 Cherubi,"US","USD","0.99",,"1",,,134-jbsel
Revise,"CCG Individual Cards (183454)","306478347185",SWSH05: Battle Styles #090/163 Golbat,"US","USD","0.99",,"1",,,135-jbsen
Revise,"CCG Individual Cards (183454)","306478347197",SWSH05: Battle Styles #105/163 Honedge,"US","USD","0.99",,"1",,,136-jbsep
Revise,"CCG Individual Cards (183454)","306478347236",SWSH05: Battle Styles #122/163 Camping Gear,"US","USD","0.99",,"1",,,139-jbset
Revise,"CCG Individual Cards (183454)","306478347244",SWSH05: Battle Styles #067/163 Primeape,"US","USD","0.99",,"1",,,140-jbsev
Revise,"CCG Individual Cards (183454)","306478347255",SWSH05: Battle Styles #010/163 Durant,"US","USD","0.99",,"1",,,141-jbsew
Revise,"CCG Individual Cards (183454)","306478347263",SWSH05: Battle Styles #049/163 Pachirisu,"US","USD","1.49",,"1",,,142-jbsf0
Revise,"CCG Individual Cards (183454)","306478347289",SWSH05: Battle Styles #105/163 Honedge,"US","USD","0.99",,"1",,,143-jbsf5
Revise,"CCG Individual Cards (183454)","306478347291",Mysterious Treasures #62/123 Sealeo,"US","USD","1.49",,"1",,,144-jbsf7
Revise,"CCG Individual Cards (183454)","306478347311",Diamond and Pearl #43/130 Budew,"US","USD","5.49",,"1",,,145-jbsf8
Revise,"CCG Individual Cards (183454)","306478347341",Diamond and Pearl #99/130 Skorupi,"US","USD","1.99",,"1",,,148-jbsfg
Revise,"CCG Individual Cards (183454)","306478347389",FireRed & LeafGreen #35/112 Ivysaur,"US","USD","2.99",,"1",,,151-jbsfo
