Line Number,Action,Status,ErrorCode,ErrorMessage,WarningCode,WarningMessage,Code,Message,ItemID,ReferenceID,ApplicationData,StartTime,EndTime,AuctionLengthFee,BoldFee,BorderFee,BuyItNowFee,CategoryFeaturedFee,CurrencyID,FeaturedFee,FeaturedGalleryFee,FixedPriceDurationFee,GalleryFee,GiftIconFee,HighlightFee,InsertionFee,InternationalInsertionFee,ListingDesignerFee,ListingFee,PhotoDisplayFee,PhotoFee,ProPackBundleFee,ReserveFee,SchedulingFee,SubtitleFee,CustomLabel,PrivateNotes,BasicUpgradePackBundleFee,ValuePackBundleFee,ProPackPlusBundleFee,SellerInventoryID,CrossBorderTradeNorthAmericaFee,CrossBorderTradeGBFee,RefundFromSeller,TotalRefundToBuyer,CorrelationID
2,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Add,Failure,10009,Error - No <Item.Location> exists or <Item.Location> is specified as an empty tag in the request.|Item.Location|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
