"*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8)","*Category","*Title","*StartPrice","*Quantity","*Format","*Duration","ConditionID","Description","PicURL","Location","DispatchTimeMax","ShippingType","ShippingService-1:Option","ShippingService-1:Cost","ReturnsAcceptedOption","C:Game"
"Add","183454","Crustle Holo Rare Destined Rivals 2025 #012/182 NM Pokemon Card","1.54","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #012/182 – Crustle</b>

<ul>
<li><strong>Card:</strong> Crustle</li>
<li><strong>Set:</strong> Destined Rivals</li>
<li><strong>Card #:</strong> #012/182</li>
<li><strong>Rarity / Finish:</strong> Rare</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/swsh7/12_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Team Rocket's Watchtower Reverse Holo Uncommon Destined Rivals 2025 #180/182 NM ","1.82","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #180/182 – Team Rocket&#39;s Watchtower</b>

<ul>
<li><strong>Card:</strong> Team Rocket&#39;s Watchtower</li>
<li><strong>Set:</strong> Destined Rivals</li>
<li><strong>Card #:</strong> #180/182</li>
<li><strong>Rarity / Finish:</strong> Uncommon</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv10/180_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Primeape Reverse Holo Uncommon Destined Rivals 2025 #091/182 NM Pokemon Card","1.50","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #091/182 – Primeape</b>

<ul>
<li><strong>Card:</strong> Primeape</li>
<li><strong>Set:</strong> Destined Rivals</li>
<li><strong>Card #:</strong> #091/182</li>
<li><strong>Rarity / Finish:</strong> Uncommon</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv10/91_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Greedent Uncommon Journey Together 2025 #132/159 NM Pokemon Card","1.34","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #132/159 – Greedent</b>

<ul>
<li><strong>Card:</strong> Greedent</li>
<li><strong>Set:</strong> Journey Together</li>
<li><strong>Card #:</strong> #132/159</li>
<li><strong>Rarity / Finish:</strong> Uncommon</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv9/132_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Regice Uncommon Journey Together 2025 #42/159 NM Pokemon Card","1.31","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #42/159 – Regice</b>

<ul>
<li><strong>Card:</strong> Regice</li>
<li><strong>Set:</strong> Journey Together</li>
<li><strong>Card #:</strong> #42/159</li>
<li><strong>Rarity / Finish:</strong> Uncommon</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv9/42_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Hop's Choice Band Reverse Holo Uncommon Journey Together 2025 #148/159 NM Pokemo","1.52","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #148/159 – Hop&#39;s Choice Band</b>

<ul>
<li><strong>Card:</strong> Hop&#39;s Choice Band</li>
<li><strong>Set:</strong> Journey Together</li>
<li><strong>Card #:</strong> #148/159</li>
<li><strong>Rarity / Finish:</strong> Uncommon</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv9/148_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Cubone Common Journey Together 2025 #76/159 NM Pokemon Card","1.41","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #76/159 – Cubone</b>

<ul>
<li><strong>Card:</strong> Cubone</li>
<li><strong>Set:</strong> Journey Together</li>
<li><strong>Card #:</strong> #76/159</li>
<li><strong>Rarity / Finish:</strong> Common</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv9/76_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Paras Reverse Holo Common Journey Together 2025 #004/159 NM Pokemon Card","1.56","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #004/159 – Paras</b>

<ul>
<li><strong>Card:</strong> Paras</li>
<li><strong>Set:</strong> Journey Together</li>
<li><strong>Card #:</strong> #004/159</li>
<li><strong>Rarity / Finish:</strong> Common</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sm115/4_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Larvesta Uncommon Journey Together 2025 #28/159 NM Pokemon Card","1.29","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #28/159 – Larvesta</b>

<ul>
<li><strong>Card:</strong> Larvesta</li>
<li><strong>Set:</strong> Journey Together</li>
<li><strong>Card #:</strong> #28/159</li>
<li><strong>Rarity / Finish:</strong> Uncommon</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv9/28_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
"Add","183454","Iono's Electrode Rare Journey Together 2025 #048/159 NM Pokemon Card","1.36","1","FixedPrice","GTC","2750","<b>Pokémon TCG – #048/159 – Iono&#39;s Electrode</b>

<ul>
<li><strong>Card:</strong> Iono&#39;s Electrode</li>
<li><strong>Set:</strong> Journey Together</li>
<li><strong>Card #:</strong> #048/159</li>
<li><strong>Rarity / Finish:</strong> Rare</li>
<li><strong>Language:</strong> English</li>
<li><strong>Condition:</strong> Near Mint — card shows minimal to no play wear</li>
</ul>

Condition guide: Very Good = light play (minor whitening/surface marks, light edge wear, no creases unless noted).

<strong>Photos</strong>
<p>Exact card pictured (front &amp; back).</p>

<strong>Shipping</strong>
<ul>
<li>Under $20: PWE (no tracking), penny sleeve + top loader.</li>
<li>$20+: Bubble mailer with USPS tracking.</li>
<li>Combined shipping: Yes.</li>
</ul>

<strong>Returns &amp; Support</strong>
<ul>
<li>All sales final (no returns) for buyer’s remorse.</li>
<li>Issues with the order? Message me — happy to help.</li>
</ul>

Thanks for looking!","https://images.pokemontcg.io/sv9/48_hires.png","Birnamwood WI 54414","3","Flat","USPSFirstClass","0.78","ReturnsNotAccepted","Pokémon"
