Line Number,Action,Status,ErrorCode,ErrorMessage,WarningCode,WarningMessage,Code,Message,ItemID,ReferenceID,ApplicationData,StartTime,EndTime,AuctionLengthFee,BoldFee,BorderFee,BuyItNowFee,CategoryFeaturedFee,CurrencyID,FeaturedFee,FeaturedGalleryFee,FixedPriceDurationFee,GalleryFee,GiftIconFee,HighlightFee,InsertionFee,InternationalInsertionFee,ListingDesignerFee,ListingFee,PhotoDisplayFee,PhotoFee,ProPackBundleFee,ReserveFee,SchedulingFee,SubtitleFee,CustomLabel,PrivateNotes,BasicUpgradePackBundleFee,ValuePackBundleFee,ProPackPlusBundleFee,SellerInventoryID,CrossBorderTradeNorthAmericaFee,CrossBorderTradeGBFee,RefundFromSeller,TotalRefundToBuyer,CorrelationID
2,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447495,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447491,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447490,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447493,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447483,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447487,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447485,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447481,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447486,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447477,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447478,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447476,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447480,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,307023447479,,,2026-06-25T00:58:09.000Z,2026-08-25T00:58:09.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
